,sub_region_2,year_month,Retail/Recreation,Grocery/Pharmacy,Transit Stations,Workplaces,Residential,metro_label,date,PC1,PC2,year_month_dt
602,Manassas,2020-10,-19.64516129032258,0.7419354838709677,-41.27956989247312,-25.193548387096776,7.774193548387097,1,2020-10-16 00:00:00.000000000,-0.5419056875961034,-0.4542731823359785,2020-10-01
603,Manassas,2020-11,-22.3,0.23333333333333334,-45.44444444444444,-28.833333333333332,10.1,1,2020-11-15 12:00:00.000000000,-1.0844516237694763,-0.22071044153480937,2020-11-01
604,Manassas,2020-12,-22.483870967741936,3.129032258064516,-54.29032258064516,-31.35483870967742,12.096774193548388,1,2020-12-16 00:00:00.000000000,-1.3923701886565425,-0.1266439340296763,2020-12-01
605,Manassas,2021-01,-30.096774193548388,-7.258064516129032,-53.274193548387096,-29.741935483870968,12.403225806451612,1,2021-01-16 00:00:00.000000000,-1.9863171106443664,-0.22422983395711227,2021-01-01
606,Manassas,2021-02,-30.178571428571427,-7.25,-55.410714285714285,-30.642857142857142,13.035714285714286,1,2021-02-14 12:00:00.000000000,-2.1152712555424102,-0.19359394228610094,2021-02-01
607,Manassas,2021-03,-20.35483870967742,-1.8387096774193548,-47.096774193548384,-26.129032258064516,7.870967741935484,1,2021-03-16 00:00:00.000000000,-0.7822509460068388,-0.6129247922450582,2021-03-01
608,Manassas,2021-04,-18.266666666666666,-0.6666666666666666,-43.4,-24.633333333333333,5.9,1,2021-04-15 12:00:00.000000000,-0.36593977583679127,-0.7508265891812971,2021-04-01
609,Manassas,2021-05,-15.03225806451613,2.0,-38.774193548387096,-22.419354838709676,4.741935483870968,1,2021-05-16 00:00:00.000000000,0.10671344025268237,-0.7878070346487237,2021-05-01
610,Manassas,2021-06,-13.3,1.6,-35.1,-22.7,3.6333333333333333,1,2021-06-15 12:00:00.000000000,0.29068856696701423,-0.8271511848176555,2021-06-01
611,Manassas,2021-07,-13.161290322580646,3.161290322580645,-33.54838709677419,-25.870967741935484,3.6774193548387095,1,2021-07-16 00:00:00.000000000,0.23270577471437956,-0.6766868805441292,2021-07-01
612,Manassas,2021-08,-12.225806451612904,0.5483870967741935,-50.58064516129032,-21.806451612903224,3.5806451612903225,1,2021-08-16 00:00:00.000000000,0.14429399036513132,-1.280384119364412,2021-08-01
613,Manassas,2021-09,-14.366666666666667,3.1,-60.8,-19.366666666666667,3.8,1,2021-09-15 12:00:00.000000000,0.1291395119493202,-1.4952457785058038,2021-09-01
614,Manassas,2021-10,-13.258064516129032,5.32258064516129,-57.16129032258065,-14.774193548387096,3.096774193548387,1,2021-10-16 00:00:00.000000000,0.5593787572589614,-1.5516128274681147,2021-10-01
615,Manassas,2021-11,-14.833333333333334,4.4,-61.03333333333333,-20.7,5.133333333333334,1,2021-11-15 12:00:00.000000000,-0.028636047543282646,-1.3062499196375,2021-11-01
616,Manassas,2021-12,-13.870967741935484,6.806451612903226,-59.45161290322581,-24.129032258064516,6.258064516129032,1,2021-12-16 00:00:00.000000000,-0.14445877755214148,-1.0370453911855548,2021-12-01
617,Manassas,2022-01,-25.35483870967742,-6.258064516129032,-70.80645161290323,-23.548387096774192,11.516129032258064,1,2022-01-16 00:00:00.000000000,-1.6488094288996824,-0.9444596481976892,2022-01-01
618,Manassas,2022-02,-18.392857142857142,-12.5,-63.75,-15.321428571428571,5.928571428571429,1,2022-02-14 12:00:00.000000000,-0.6647247219673205,-1.728996424787097,2022-02-01
619,Manassas,2022-03,-18.483870967741936,-16.161290322580644,-64.7741935483871,-14.419354838709678,4.258064516129032,1,2022-03-16 00:00:00.000000000,-0.6148545717127286,-2.0134484954439715,2022-03-01
620,Manassas,2022-04,-16.0,-13.833333333333334,-60.166666666666664,-16.9,2.5,1,2022-04-15 12:00:00.000000000,-0.3220383648010113,-1.9928952735972465,2022-04-01
621,Manassas,2022-05,-14.580645161290322,-8.709677419354838,-62.25806451612903,-15.32258064516129,2.2580645161290325,1,2022-05-16 00:00:00.000000000,-0.01548123080765529,-2.020409310587222,2022-05-01
622,Manassas,2022-06,-16.933333333333334,-7.733333333333333,-61.06666666666667,-19.866666666666667,1.9666666666666666,1,2022-06-15 12:00:00.000000000,-0.20857196406088344,-1.8578094454195062,2022-06-01
623,Manassas,2022-07,-17.225806451612904,-6.645161290322581,-57.5,-23.806451612903224,3.096774193548387,1,2022-07-16 00:00:00.000000000,-0.41441597215306625,-1.5363191619344228,2022-07-01
624,Manassas,2022-08,-16.93548387096774,-4.483870967741935,-54.54838709677419,-21.096774193548388,3.806451612903226,1,2022-08-16 00:00:00.000000000,-0.24176564215682184,-1.4175529260127153,2022-08-01
625,Manassas,2022-09,-15.1,-4.2,-49.666666666666664,-20.233333333333334,1.8666666666666667,1,2022-09-15 12:00:00.000000000,0.11676522809629392,-1.5222128877325745,2022-09-01
626,Manassas,2022-10,-14.733333333333333,-6.066666666666666,-53.2,-18.933333333333334,2.8666666666666667,1,2022-10-08 00:00:00.000000000,-0.026655139436430487,-1.5888085907135876,2022-10-01
627,Mecklenburg County,2020-02,4.133333333333334,3.8666666666666667,10.0,-1.3333333333333333,-0.26666666666666666,0,2020-02-22 00:00:00.000000000,2.797550420801006,-0.7671625740345857,2020-02-01
628,Mecklenburg County,2020-03,-3.903225806451613,13.193548387096774,1.064516129032258,-9.258064516129032,1.8996852871754524,0,2020-03-16 00:00:00.000000000,2.2212373060662816,-0.2925395270354315,2020-03-01
