retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,metro_label,date,sub_region_2
-15.0,-4.0,-28.0,-47.0,13.0,1,2020-07-01,Albemarle County
-12.0,7.0,-28.0,-49.0,12.0,1,2020-07-02,Albemarle County
-15.0,-1.0,-39.0,-60.0,16.0,1,2020-07-03,Albemarle County
-37.0,-11.0,-29.0,-28.0,4.0,1,2020-07-04,Albemarle County
-29.0,-27.0,-25.0,-29.0,9.0,1,2020-07-05,Albemarle County
-18.0,-8.0,-36.0,-51.0,14.0,1,2020-07-06,Albemarle County
-21.0,-6.0,-24.0,-48.0,14.0,1,2020-07-07,Albemarle County
-19.0,-7.0,-32.0,-48.0,14.0,1,2020-07-08,Albemarle County
-19.0,-3.0,-26.0,-49.0,14.0,1,2020-07-09,Albemarle County
-20.0,-12.0,-35.0,-47.0,14.0,1,2020-07-10,Albemarle County
-23.0,-6.0,-14.0,-16.0,4.0,1,2020-07-11,Albemarle County
-25.0,-19.0,-18.0,-28.0,8.5,1,2020-07-12,Albemarle County
-20.0,-7.0,-42.0,-48.0,13.0,1,2020-07-13,Albemarle County
-18.0,-5.0,-30.0,-47.0,13.0,1,2020-07-14,Albemarle County
-18.0,-9.0,-31.0,-49.0,13.0,1,2020-07-15,Albemarle County
-17.0,-2.0,-30.0,-50.0,14.0,1,2020-07-16,Albemarle County
-20.0,-11.0,-32.0,-46.0,14.0,1,2020-07-17,Albemarle County
-23.0,-7.0,-19.0,-14.0,4.0,1,2020-07-18,Albemarle County
-25.0,-16.0,-20.0,-27.0,9.0,1,2020-07-19,Albemarle County
-22.0,-7.0,-33.0,-50.0,14.0,1,2020-07-20,Albemarle County
-20.0,-5.0,-32.0,-49.0,14.0,1,2020-07-21,Albemarle County
-22.0,-12.0,-33.0,-48.0,15.0,1,2020-07-22,Albemarle County
-22.0,-5.0,-30.0,-49.0,14.0,1,2020-07-23,Albemarle County
-19.0,-13.0,-29.0,-45.0,14.0,1,2020-07-24,Albemarle County
-23.0,-9.0,-18.0,-16.0,3.0,1,2020-07-25,Albemarle County
-24.0,-17.0,-24.0,-22.0,8.0,1,2020-07-26,Albemarle County
-20.0,-9.0,-35.0,-49.0,13.0,1,2020-07-27,Albemarle County
-21.0,-6.0,-31.0,-48.0,14.0,1,2020-07-28,Albemarle County
-20.0,-10.0,-28.0,-49.0,13.0,1,2020-07-29,Albemarle County
-21.0,-7.0,-18.0,-49.0,14.0,1,2020-07-30,Albemarle County
-18.0,-12.0,-15.0,-46.0,15.0,1,2020-07-31,Albemarle County
-22.0,-5.0,-5.0,-18.0,4.0,1,2020-08-01,Albemarle County
-23.0,-18.0,-15.0,-28.0,9.5,1,2020-08-02,Albemarle County
-24.0,-13.0,-28.0,-50.0,15.0,1,2020-08-03,Albemarle County
-21.0,-9.0,-27.0,-50.0,14.0,1,2020-08-04,Albemarle County
-18.0,-12.0,-14.0,-48.0,13.0,1,2020-08-05,Albemarle County
-19.0,-9.0,-20.0,-48.0,12.0,1,2020-08-06,Albemarle County
-17.0,-17.0,-17.0,-46.0,12.0,1,2020-08-07,Albemarle County
-20.0,-8.0,20.0,-18.0,2.0,1,2020-08-08,Albemarle County
-24.0,-19.0,-12.0,-24.0,7.0,1,2020-08-09,Albemarle County
-19.0,-11.0,-20.0,-49.0,12.0,1,2020-08-10,Albemarle County
-19.0,-7.0,-15.0,-47.0,12.0,1,2020-08-11,Albemarle County
-21.0,-12.0,-27.0,-47.0,13.0,1,2020-08-12,Albemarle County
-22.0,-5.0,-14.0,-49.0,14.0,1,2020-08-13,Albemarle County
-22.0,-13.0,-19.0,-47.0,13.0,1,2020-08-14,Albemarle County
-24.0,-11.0,2.0,-19.0,6.0,1,2020-08-15,Albemarle County
-25.0,-17.0,-11.0,-26.0,9.0,1,2020-08-16,Albemarle County
-21.0,-16.884615384615383,-11.192307692307692,-48.0,12.0,1,2020-08-17,Albemarle County
-21.0,-16.76923076923077,-11.384615384615385,-47.0,12.0,1,2020-08-18,Albemarle County
-21.0,-16.653846153846153,-11.576923076923077,-47.0,12.0,1,2020-08-19,Albemarle County
-19.0,-16.53846153846154,-11.76923076923077,-47.0,12.0,1,2020-08-20,Albemarle County
-21.0,-16.423076923076923,-11.961538461538462,-46.0,13.0,1,2020-08-21,Albemarle County
-25.0,-16.307692307692307,-12.153846153846153,-46.333333333333336,3.0,1,2020-08-22,Albemarle County
-24.0,-16.192307692307693,-12.346153846153847,-46.666666666666664,7.5,1,2020-08-23,Albemarle County
-19.0,-16.076923076923077,-12.538461538461538,-47.0,12.0,1,2020-08-24,Albemarle County
-21.0,-15.961538461538462,-12.730769230769232,-46.0,12.0,1,2020-08-25,Albemarle County
-22.0,-15.846153846153847,-12.923076923076923,-46.0,12.0,1,2020-08-26,Albemarle County
-23.0,-15.73076923076923,-13.115384615384615,-47.0,13.0,1,2020-08-27,Albemarle County
-22.0,-15.615384615384615,-13.307692307692308,-46.0,12.0,1,2020-08-28,Albemarle County
-27.0,-15.5,-13.5,-47.333333333333336,5.0,1,2020-08-29,Albemarle County
-24.0,-15.384615384615385,-13.692307692307692,-48.666666666666664,10.5,1,2020-08-30,Albemarle County
-32.0,-15.269230769230768,-13.884615384615385,-50.0,16.0,1,2020-08-31,Albemarle County
-20.0,-15.153846153846153,-14.076923076923077,-48.0,13.0,1,2020-09-01,Albemarle County
-21.0,-15.038461538461538,-14.26923076923077,-48.0,12.0,1,2020-09-02,Albemarle County
-19.0,-14.923076923076923,-14.461538461538462,-48.0,11.0,1,2020-09-03,Albemarle County
-17.0,-14.807692307692308,-14.653846153846153,-47.0,11.0,1,2020-09-04,Albemarle County
-20.0,-14.692307692307692,-14.846153846153847,-56.0,1.0,1,2020-09-05,Albemarle County
-15.0,-14.576923076923077,-15.038461538461538,-65.0,9.0,1,2020-09-06,Albemarle County
-27.0,-14.461538461538462,-15.230769230769232,-74.0,17.0,1,2020-09-07,Albemarle County
-23.0,-14.346153846153847,-15.423076923076923,-49.0,12.0,1,2020-09-08,Albemarle County
-27.0,-14.23076923076923,-15.615384615384615,-49.0,12.0,1,2020-09-09,Albemarle County
-22.0,-14.115384615384615,-15.807692307692308,-51.0,12.0,1,2020-09-10,Albemarle County
-21.0,-14.0,-16.0,-46.0,11.0,1,2020-09-11,Albemarle County
-25.0,-10.0,3.0,-23.0,3.0,1,2020-09-12,Albemarle County
-23.0,-22.0,-7.0,-30.0,7.0,1,2020-09-13,Albemarle County
-22.0,-11.0,-24.0,-46.0,11.0,1,2020-09-14,Albemarle County
-21.0,-7.0,-19.0,-44.0,11.0,1,2020-09-15,Albemarle County
-22.0,-10.0,-18.0,-46.0,11.0,1,2020-09-16,Albemarle County
-23.0,-11.0,-23.0,-48.0,14.0,1,2020-09-17,Albemarle County
-21.0,-15.0,-16.0,-44.0,11.0,1,2020-09-18,Albemarle County
-21.0,-6.0,7.0,-20.0,2.0,1,2020-09-19,Albemarle County
-19.0,-19.0,-12.0,-26.0,7.0,1,2020-09-20,Albemarle County
-21.0,-11.0,-30.0,-47.0,12.0,1,2020-09-21,Albemarle County
-22.0,-7.0,-18.0,-44.0,12.0,1,2020-09-22,Albemarle County
-22.0,-11.0,-22.0,-44.0,12.0,1,2020-09-23,Albemarle County
-22.0,-11.0,-17.0,-45.0,13.0,1,2020-09-24,Albemarle County
-21.0,-16.0,-20.0,-43.0,14.0,1,2020-09-25,Albemarle County
-22.0,-6.0,12.0,-17.0,3.0,1,2020-09-26,Albemarle County
-21.0,-21.0,-4.0,-26.0,4.0,1,2020-09-27,Albemarle County
-22.0,-11.0,-26.0,-46.0,12.0,1,2020-09-28,Albemarle County
-24.0,-11.0,-26.0,-46.0,13.0,1,2020-09-29,Albemarle County
-20.0,-9.0,-20.0,-46.0,12.0,1,2020-09-30,Albemarle County
-18.0,-3.0,-20.0,-46.0,11.0,1,2020-10-01,Albemarle County
-16.0,-8.0,-15.0,-43.0,11.0,1,2020-10-02,Albemarle County
-22.0,-5.0,1.0,-18.0,1.0,1,2020-10-03,Albemarle County
-18.0,-16.0,-7.0,-30.0,3.0,1,2020-10-04,Albemarle County
-22.0,-10.0,-34.0,-47.0,11.0,1,2020-10-05,Albemarle County
-20.0,-5.0,-20.0,-46.0,11.0,1,2020-10-06,Albemarle County
-21.0,-10.0,-23.0,-46.0,11.0,1,2020-10-07,Albemarle County
-21.0,-7.0,-8.0,-45.0,11.0,1,2020-10-08,Albemarle County
-19.0,-11.0,-8.0,-44.0,12.0,1,2020-10-09,Albemarle County
-24.0,-10.0,17.0,-20.0,5.0,1,2020-10-10,Albemarle County
-23.0,-18.0,-4.0,-32.0,8.0,1,2020-10-11,Albemarle County
-21.0,-9.0,-14.0,-49.0,15.0,1,2020-10-12,Albemarle County
-21.0,-6.0,-11.0,-45.0,12.0,1,2020-10-13,Albemarle County
-21.0,-10.0,-12.0,-44.0,12.0,1,2020-10-14,Albemarle County
-20.0,-4.0,-4.0,-43.0,11.0,1,2020-10-15,Albemarle County
-20.0,-13.0,-2.0,-42.0,13.0,1,2020-10-16,Albemarle County
-17.0,-6.0,36.0,-18.0,2.0,1,2020-10-17,Albemarle County
-16.0,-15.0,10.0,-25.0,3.0,1,2020-10-18,Albemarle County
-19.0,-10.0,-18.0,-44.0,12.0,1,2020-10-19,Albemarle County
-20.0,-7.0,-18.0,-42.0,12.0,1,2020-10-20,Albemarle County
-21.0,-9.0,-19.0,-42.0,12.0,1,2020-10-21,Albemarle County
-21.0,-6.0,-5.0,-42.0,11.0,1,2020-10-22,Albemarle County
-17.0,-12.0,-8.0,-40.0,11.0,1,2020-10-23,Albemarle County
-19.0,-4.0,24.0,-16.0,2.0,1,2020-10-24,Albemarle County
-22.0,-19.0,-4.0,-25.0,7.0,1,2020-10-25,Albemarle County
-20.0,-9.0,-14.0,-43.0,12.0,1,2020-10-26,Albemarle County
-20.0,-5.0,-15.0,-42.0,12.0,1,2020-10-27,Albemarle County
-19.0,-6.0,-12.0,-42.0,12.0,1,2020-10-28,Albemarle County
-27.0,-14.0,-11.0,-45.0,15.0,1,2020-10-29,Albemarle County
-15.0,-6.0,1.0,-41.0,12.0,1,2020-10-30,Albemarle County
-23.0,-2.0,23.0,-15.0,2.0,1,2020-10-31,Albemarle County
-25.0,-21.0,-12.0,-28.0,7.0,1,2020-11-01,Albemarle County
-19.0,-6.0,-21.0,-44.0,12.0,1,2020-11-02,Albemarle County
-16.0,-2.0,-31.0,-46.0,12.0,1,2020-11-03,Albemarle County
-26.0,-14.0,-21.0,-42.0,13.0,1,2020-11-04,Albemarle County
-23.0,-8.0,-20.0,-42.0,14.0,1,2020-11-05,Albemarle County
-20.0,-16.0,-30.0,-39.0,13.0,1,2020-11-06,Albemarle County
-20.0,-6.0,-4.0,-15.0,3.0,1,2020-11-07,Albemarle County
-19.0,-16.0,-18.0,-25.0,5.0,1,2020-11-08,Albemarle County
-22.0,-13.0,-33.0,-41.0,13.0,1,2020-11-09,Albemarle County
-21.0,-7.0,-22.0,-41.0,12.0,1,2020-11-10,Albemarle County
-24.0,-16.0,-33.0,-46.0,17.0,1,2020-11-11,Albemarle County
-27.0,-12.0,-30.0,-44.0,17.0,1,2020-11-12,Albemarle County
-19.0,-12.0,-18.0,-39.0,13.0,1,2020-11-13,Albemarle County
-24.0,-7.0,-5.0,-13.0,4.0,1,2020-11-14,Albemarle County
-26.0,-20.0,-16.0,-24.0,7.0,1,2020-11-15,Albemarle County
-22.0,-10.0,-27.0,-42.0,13.0,1,2020-11-16,Albemarle County
-24.0,-9.0,-33.0,-39.0,13.0,1,2020-11-17,Albemarle County
-22.0,-7.0,-33.0,-41.0,14.0,1,2020-11-18,Albemarle County
-23.0,-4.0,-28.0,-41.0,13.0,1,2020-11-19,Albemarle County
-19.0,-11.0,-17.0,-38.0,13.0,1,2020-11-20,Albemarle County
